,user_id,grade_id,sex,height,weight,bmi,usa_routes
182,16828.0,53.0,0,175,68,22.20408163265306,5.12b
184,16838.0,40.0,0,173,58,19.37919743392696,5.10c
185,16855.0,72.0,0,178,68,21.461936624163616,5.14c
186,16874.0,44.0,0,177,68,21.705129432793896,5.11a
187,16913.0,64.0,0,172,58,19.60519199567334,5.13c
188,16972.0,68.0,0,180,78,24.074074074074073,5.14a
190,17032.0,46.0,0,188,78,22.068809416025353,5.11b
191,17131.0,40.0,0,180,68,20.98765432098765,5.10c
192,17147.0,59.0,0,180,78,24.074074074074073,5.13a
193,17231.0,68.0,0,173,68,22.720438370810918,5.14a
194,17349.0,53.0,0,188,73,20.654142145767317,5.12b
195,17358.0,70.0,0,180,73,22.530864197530864,5.14b
196,17396.0,53.0,0,190,78,21.606648199445985,5.12b
198,17519.0,46.0,0,180,78,24.074074074074073,5.11b
199,17586.0,57.0,0,190,78,21.606648199445985,5.12d
200,17595.0,36.0,0,180,83,25.61728395061728,5.10a
201,17607.0,53.0,0,173,53,17.70857696548498,5.12b
202,17697.0,55.0,0,165,53,19.467401285583104,5.12c
203,17722.0,62.0,0,188,78,22.068809416025353,5.13b
204,17823.0,53.0,0,187,73,20.875632703251448,5.12b
205,17929.0,36.0,0,178,63,19.883853048857468,5.10a
206,18028.0,55.0,0,177,63,20.109164033323754,5.12c
207,18030.0,38.0,0,170,63,21.79930795847751,5.10b
208,18065.0,64.0,0,174,73,24.111507464658473,5.13c
209,18139.0,62.0,0,170,63,21.79930795847751,5.13b
211,18337.0,62.0,0,185,83,24.251278305332356,5.13b
212,18405.0,57.0,0,176,58,18.72417355371901,5.12d
213,18453.0,55.0,0,175,58,18.93877551020408,5.12c
214,18486.0,59.0,0,180,68,20.98765432098765,5.13a
215,18537.0,64.0,0,173,68,22.720438370810918,5.13c
216,18593.0,53.0,0,178,83,26.19618735008206,5.12b
217,18702.0,64.0,0,184,63,18.608223062381853,5.13c
219,18913.0,51.0,0,196,83,21.605581007913372,5.12a
220,18963.0,64.0,0,189,78,21.83589485176787,5.13c
221,19022.0,68.0,0,175,68,22.20408163265306,5.14a
222,19092.0,57.0,0,175,73,23.836734693877553,5.12d
223,19184.0,55.0,0,167,58,20.796729893506402,5.12c
224,19193.0,40.0,0,175,68,22.20408163265306,5.10c
225,19198.0,49.0,0,178,78,24.61810377477591,5.11d
226,19199.0,51.0,0,183,73,21.798202394816204,5.12a
227,19264.0,44.0,0,178,93,29.352354500694357,5.11a
228,19266.0,51.0,0,161,63,24.3046178773967,5.12a
229,19432.0,66.0,0,180,68,20.98765432098765,5.13d
230,19484.0,51.0,0,183,73,21.798202394816204,5.12a
231,19712.0,64.0,0,177,68,21.705129432793896,5.13c
232,19722.0,62.0,0,182,73,22.03840115928028,5.13b
233,19808.0,62.0,0,184,83,24.515595463137995,5.13b
234,19942.0,49.0,0,175,68,22.20408163265306,5.11d
235,20011.0,64.0,0,188,73,20.654142145767317,5.13c
236,20069.0,55.0,0,175,68,22.20408163265306,5.12c
237,20101.0,59.0,0,176,63,20.33832644628099,5.13a
238,20180.0,44.0,0,181,58,17.70397729007051,5.11a
239,20210.0,68.0,0,173,63,21.04981790236894,5.14a
240,20367.0,51.0,0,172,58,19.60519199567334,5.12a
241,20416.0,70.0,0,175,68,22.20408163265306,5.14b
242,20421.0,53.0,0,180,63,19.444444444444443,5.12b
243,20430.0,13.0,0,169,58,20.307412205454995,5.3
244,20432.0,70.0,0,179,78,24.343809494085704,5.14b
245,20537.0,53.0,0,182,63,19.01944209636517,5.12b
246,20641.0,33.0,0,166,83,30.120481927710845,5.9
247,20688.0,59.0,0,177,73,23.301094832264035,5.13a
248,20705.0,59.0,0,173,53,17.70857696548498,5.13a
249,20730.0,53.0,0,183,63,18.812147272238644,5.12b
250,20748.0,59.0,0,178,68,21.461936624163616,5.13a
251,20789.0,66.0,0,182,73,22.03840115928028,5.13d
252,20832.0,59.0,0,190,73,20.221606648199447,5.13a
253,20845.0,38.0,0,198,78,19.89592898683808,5.10b
254,20951.0,36.0,0,190,93,25.761772853185597,5.10a
255,20975.0,31.0,0,178,78,24.61810377477591,5.8
256,21022.0,59.0,0,175,68,22.20408163265306,5.13a
257,21099.0,36.0,0,170,63,21.79930795847751,5.10a
258,21103.0,57.0,0,180,63,19.444444444444443,5.12d
261,21223.0,51.0,0,170,68,23.529411764705884,5.12a
263,21351.0,51.0,0,186,78,22.54595907041276,5.12a
264,21421.0,59.0,0,183,83,24.78425751739377,5.13a
265,21662.0,49.0,0,174,58,19.157088122605362,5.11d
266,21674.0,59.0,0,167,63,22.589551436050055,5.13a
267,21698.0,31.0,0,175,78,25.46938775510204,5.8
268,21719.0,51.0,0,182,73,22.03840115928028,5.12a
270,21772.0,64.0,0,171,68,23.25501863821347,5.13c
271,21862.0,38.0,0,185,83,24.251278305332356,5.10b
272,21938.0,59.0,0,180,73,22.530864197530864,5.13a
274,22026.0,57.0,0,180,63,19.444444444444443,5.12d
276,22100.0,64.0,0,178,68,21.461936624163616,5.13c
277,22105.0,66.0,0,182,73,22.03840115928028,5.13d
278,22198.0,51.0,0,191,68,18.63983991666895,5.12a
279,22201.0,40.0,0,190,83,22.991689750692522,5.10c
280,22202.0,59.0,0,180,68,20.98765432098765,5.13a
281,22257.0,33.0,0,177,78,24.897060231734173,5.9
282,22275.0,62.0,0,181,68,20.756387167668876,5.13b
283,22313.0,55.0,0,187,63,18.015956990477278,5.12c
284,22323.0,31.0,0,180,68,20.98765432098765,5.8
285,22351.0,59.0,0,176,63,20.33832644628099,5.13a
286,22364.0,40.0,0,175,73,23.836734693877553,5.10c
287,22420.0,46.0,0,181,78,23.808797045267237,5.11b
289,22471.0,53.0,0,255,78,11.995386389850058,5.12b
290,22509.0,42.0,0,174,73,24.111507464658473,5.10d
291,22555.0,59.0,0,180,68,20.98765432098765,5.13a
292,22558.0,51.0,0,183,73,21.798202394816204,5.12a
293,22583.0,36.0,0,185,78,22.79035792549306,5.10a
295,22675.0,62.0,0,177,78,24.897060231734173,5.13b
296,22678.0,59.0,0,178,58,18.30576947355132,5.13a
297,22698.0,46.0,0,186,78,22.54595907041276,5.11b
299,22868.0,44.0,0,173,68,22.720438370810918,5.11a
300,23112.0,38.0,0,182,73,22.03840115928028,5.10b
301,23153.0,59.0,0,175,68,22.20408163265306,5.13a
302,23195.0,57.0,0,179,68,21.22280827689523,5.12d
303,23212.0,51.0,0,170,63,21.79930795847751,5.12a
304,23272.0,49.0,0,180,63,19.444444444444443,5.11d
305,23343.0,59.0,0,152,78,33.76038781163435,5.13a
306,23371.0,70.0,0,182,68,20.528921627822726,5.14b
308,23571.0,55.0,0,177,68,21.705129432793896,5.12c
309,23590.0,55.0,0,170,68,23.529411764705884,5.12c
310,23659.0,55.0,0,181,68,20.756387167668876,5.12c
311,23684.0,46.0,0,180,73,22.530864197530864,5.11b
312,23689.0,46.0,0,176,63,20.33832644628099,5.11b
314,23747.0,62.0,0,255,100,15.378700499807767,5.13b
315,23789.0,51.0,0,182,63,19.01944209636517,5.12a
316,23835.0,66.0,0,182,73,22.03840115928028,5.13d
